AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
JPM,J P Morgan Chase & Co,20111004,SGX  Chi-X joint venture reports tripling of trades in Q3 , SINGAPORE  Oct 4 Chi-East  a dark pool joint venture between Singapore Exchange and Nomura's  Chi-X  said the value of trades matched by the firm surged 203 percent in the three months to September over the previous quarter.,normal
JCP,JC Penney Company Inc Holding Company,20111004,PRESS DIGEST - CANADA - Oct 4 , Oct 4 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
JNJ,Johnson & Johnson,20111004,COLUMN-Judge tosses suit against J&J board ,   -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,topStory
PHG,Koninklijke Philips NV,20111004,French and Benelux stocks-Factors to watch on Oct 4 , PARIS  Oct 4 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,topStory
LVS,Las Vegas Sands Corp,20111004,UPDATE 1-Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Gambling revenue in Macau rose 39 percent to 21.2 billion patacas ($2.6 billion) in September compared to a year ago  signalling strength in the world's largest gambling destination despite a recent selloff in Hong Kong and U.S. listed gaming stocks over fears that credit for mainland Chinese gamblers is drying up.,topStory
LVS,Las Vegas Sands Corp,20111004,Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Macau posted a 39  percent rise in September gaming revenue to 21.2  billion patacas ($2.6 billion) on Tuesday  signalling strength in the world's largest gambling destination  despite a colossal selloff in Hong Kong and U.S. listed gaming stocks over fears that credit available to mainland gamblers is drying up.,normal
LYG,Lloyds Banking Group Plc,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,topStory
LYG,Lloyds Banking Group Plc,20111004,Dexia: a one-off or warning shot for Europe's banks? , LONDON  Oct 4 State help for ailing Belgian-French bank Dexia sparked concern it will be the first of many banks needing taxpayer support if euro zone politicians fail to get to grips with a deepening debt crisis.,normal
LMT,Lockheed Martin Corporation,20111004,U.S. says mulling further Taiwan arms sales ,WASHINGTON The Obama administration is weighing fresh arms sales to Taiwan as part of a sweeping effort to deter any Chinese attack on the self-ruled island that Beijing claims as its own  administration officials told Congress on Tuesday.,topStory
LMT,Lockheed Martin Corporation,20111004,UPDATE 1-U.S. says mulling further Taiwan arms sales , * New Lockheed Martin F-16 fighters still under review  (Adds lawmakers' comments  paragraphs 12-14),normal
LMT,Lockheed Martin Corporation,20111004,US lawmaker: China cyber espionage 'intolerable' ,WASHINGTON The chairman of the House of Representatives intelligence committee on Tuesday accused China of widespread cyber economic espionage and said many U.S. firms were afraid to come forward for fear their computers would be the targets of even more attacks.,normal
LMT,Lockheed Martin Corporation,20111004,UPDATE 1-US lawmaker: China cyber espionage 'intolerable' , * Companies reluctant to point finger at China  (Adds comment from Ruppersberger  witnesses  background),normal
LMT,Lockheed Martin Corporation,20111004,U.S. says mulling further Taiwan arms sales , WASHINGTON  Oct 4 The Obama administration is weighing fresh arms sales to Taiwan as part of a sweeping effort to deter any Chinese attack on the self-ruled island that Beijing claims as its own  administration officials told Congress on Tuesday.,normal
LMT,Lockheed Martin Corporation,20111004,Banks losing ground on card security ,U.S. banks are losing ground in the battle to combat credit and debit card fraud  a new report shows  underscoring the growing threat thieves and hackers pose for the financial system.,normal
LMT,Lockheed Martin Corporation,20111004,U.S. banks losing ground on card security - report , * Worldwide card fraud rises 10 pct to $7.6 bln in 2010,normal
LYB,LyondellBasell Industries NV,20111004,Europe Gasoline/Naphtha-Dip as crude falls , LONDON  Oct 4 Gasoline prices fell on Tuesday as deepening anxiety on prospects for the global economy hit assets correlated with the demand outlook.,topStory
M,Macy&#39;s Inc,20111004,PREVIEW-UPDATE 1-September likely solid for U.S. chains , * Same-store sales rise of 4.6 pct seen - Thomson Reuters,topStory
M,Macy&#39;s Inc,20111004,September likely solid  not stellar  for U.S. chains ,CHICAGO Shoppers hunting for back-to-school deals gave a nice boost to U.S. discount chains in September  though the rocky stock market and economic malaise may have curbed some people's desire to spend more.,normal
M,Macy&#39;s Inc,20111004,PREVIEW-September likely solid  not stellar  for US chains , * Same-store sales rise of 4.7 pct seen - Thomson Reuters,normal
MMI,Marcus & Millichap Inc,20111004,FACTBOX-New iPhone has similar specs to rival devices ,   Oct 4 Here's how the Apple Inc  iPhone 4S stacks up to rival devices from Samsung Electronics Co Ltd   HTC Corp  and Motorola Mobility  .,topStory
MCD,McDonald&#39;s Corporation,20111004,KFC parent Yum fails to ease China fears ,KFC parent Yum Brands Inc  posted a quarterly profit that failed to assuage investor worries about slowing growth in China  its biggest market.,topStory
MCD,McDonald&#39;s Corporation,20111004,UPDATE 3-KFC parent Yum fails to ease China fears , (Adds analyst and investor comment  byline  updates share activity),normal
MDT,Medtronic plc,20111004,U.S. FDA advisory meetings through Dec. 9 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
MRK,Merck & Company Inc,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,topStory
MRK,Merck & Company Inc,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
MRK,Merck & Company Inc,20111004,U.S. FDA advisory meetings through Dec. 9 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,normal
MRK,Merck & Company Inc,20111004,Citi  BofA cut workers after US tax holiday-report , WASHINGTON  Oct 4 Ten major U.S. corporations  including big banks Citigroup Inc  and Bank of America Corp   laid off workers after enjoying a tax holiday in 2004-2005 that had been billed as a form of economic stimulus  said a report released on Tuesday.,normal
MGM,MGM Resorts International,20111004,UPDATE 1-Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Gambling revenue in Macau rose 39 percent to 21.2 billion patacas ($2.6 billion) in September compared to a year ago  signalling strength in the world's largest gambling destination despite a recent selloff in Hong Kong and U.S. listed gaming stocks over fears that credit for mainland Chinese gamblers is drying up.,topStory
MGM,MGM Resorts International,20111004,Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Macau posted a 39  percent rise in September gaming revenue to 21.2  billion patacas ($2.6 billion) on Tuesday  signalling strength in the world's largest gambling destination  despite a colossal selloff in Hong Kong and U.S. listed gaming stocks over fears that credit available to mainland gamblers is drying up.,normal
MFG,Mizuho Financial Group Inc,20111004,UPDATE 1-JBIC to offer $43 bln credit line to big banks - Nikkei , Oct 5 The Japan Bank for International Cooperation will offer credit lines worth $43 billion to three major banks to counter the effects of a strong yen  the Nikkei Japanese daily reported.,topStory
MON,Monsanto Company,20111004,Groups petition FDA to require labeling of GMO food , * Monsanto sweet corn targeted for boycott  (Adds details  edits throughout),topStory
MON,Monsanto Company,20111004,Groups petition FDA to require labeling of GMO food , Oct 4 The Center for Food Safety said Tuesday it has filed a legal petition with the U.S. Food and Drug Administration seeking mandatory labeling for foods made from genetically engineered crops  a move long opposed by big biotech companies.,normal
MS,Morgan Stanley,20111004,Europe won't let monetary union fail:  Geithner ,WASHINGTON Treasury Secretary Timothy Geithner said on Tuesday that Europe will not let its monetary union fail  but must move more aggressively to erect the financial capacity to safeguard it.,topStory
MS,Morgan Stanley,20111004,UPDATE 1-Europe won't let monetary union fail-US' Geithner , * Says US financial system stronger than 6-18 months ago  (Adds comments from CNN interview),normal
MS,Morgan Stanley,20111004,Buyers rush in as Wall Street toys with bear market ,NEW YORK Investors rushed in to buy technology and other beaten-down sectors as the S&P 500 dipped in and out of a bear market on Tuesday  and a late rally drove the index to its largest gain in more than a week. | Video ,normal
MS,Morgan Stanley,20111004,WRAPUP-BofA shares drop  recover in rollercoaster day , * Citigroup  Morgan Stanley also close up  (Please note paragraph 11 contains language that may be offensive to some readers),normal
MS,Morgan Stanley,20111004,US STOCKS-Buyers rush in as Wall St toys with bear market ,  * Late rally boosted by reports EU preparing bank rescues  * S&P 500 briefly trades down 20 percent from 2011 high  * Dow up 1.4 pct  S&P up 2.3 pct  Nasdaq up 3 pct  (Recasts  changes comment  updates volume),normal
MS,Morgan Stanley,20111004,Morgan Stanley gives subdued outlook for brokerage ,NEW YORK The head of Morgan Stanley's  wealth management business offered a tempered outlook for profits and staff levels on Tuesday and acknowledged that achieving a 20 percent pretax operating margin depends largely on market conditions. | Video ,normal
MS,Morgan Stanley,20111004,US STOCKS-Wall St toys with bear market  buyers rush in ,  * Bernanke comments help market pare early losses  * S&P 500 briefly trades down 20 percent from 2011 high  * Dow up 1.4 pct  S&P up 2.3 pct  Nasdaq up 3 pct  (Updates to close  changes byline),normal
MS,Morgan Stanley,20111004,BofA shares drop to lowest level since March 2009 ,CHARLOTTE  North Carolina Bank of America Corp  shares fell 5.2 percent Tuesday to their lowest level since March 2009 amid concerns about how a slowing world economy and the European debt crisis would affect the largest U.S. bank.,normal
MS,Morgan Stanley,20111004,US STOCKS-Wall St falls on Europe  S&P enters bear market ,  * Bernanke comments help market to pare early losses  * S&P trades down 20 percent from 2011 high  * Indexes off: Dow 1.3 pct  S&P 0.9 pct  Nasdaq 0.2 pct  (Updates to early afternoon),normal
MS,Morgan Stanley,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
NEE,NextEra Energy Inc,20111004,NextEra Fla. Turkey Point 3 reactor shut , Oct 4 NextEra Energy Inc's 693-megawatt Unit 3 at the Turkey Point nuclear plant in Florida shut by early Tuesday from full power Monday  the U.S. Nuclear Regulatory Commission said in a report.,topStory
NOK,Nokia Corporation,20111004,REFILE-UPDATE 3-Nokia still pledging Windows phone as Apple marches on , (Refiles to correct spelling of 'fightback' in first paragraph),topStory
NMR,Nomura Holdings Inc ADR,20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
NMR,Nomura Holdings Inc ADR,20111004,SGX  Chi-X joint venture reports tripling of trades in Q3 , SINGAPORE  Oct 4 Chi-East  a dark pool joint venture between Singapore Exchange and Nomura's  Chi-X  said the value of trades matched by the firm surged 203 percent in the three months to September over the previous quarter.,normal
JWN,Nordstrom Inc,20111004,PREVIEW-UPDATE 1-September likely solid for U.S. chains , * Same-store sales rise of 4.6 pct seen - Thomson Reuters,topStory
JWN,Nordstrom Inc,20111004,September likely solid  not stellar  for U.S. chains ,CHICAGO Shoppers hunting for back-to-school deals gave a nice boost to U.S. discount chains in September  though the rocky stock market and economic malaise may have curbed some people's desire to spend more.,normal
JWN,Nordstrom Inc,20111004,PREVIEW-September likely solid  not stellar  for US chains , * Same-store sales rise of 4.7 pct seen - Thomson Reuters,normal
NOC,Northrop Grumman Corporation,20111004,U.S. cuts put pressure on NATO to boost cooperation ,BRUSSELS NATO nations meet in Brussels on Wednesday under mounting pressure to expand cooperation in defense projects given big cuts looming in the U.S. defense budget.,topStory
NOC,Northrop Grumman Corporation,20111004,US cuts put pressure on NATO to boost cooperation , BRUSSELS  Oct 5NATO nations meet in Brussels on Wednesday under mounting pressure to expand cooperation in defence projects given big cuts looming in the U.S. defence budget.,normal
NRG,NRG Energy Inc,20111004,NRG to idle 473-MW at Texas Bertron gas plant , AUSTIN  Texas Oct 4 NRG Energy Inc  wants to mothball 473 megawatts of aging natural gas-fired generation near Houston on Jan. 1  the  No. 2 power producer in Texas told the Texas electric grid agency in a filing on Tuesday.,topStory
NS,Nustar Energy LP,20111004,UPDATE 1-Nustar says Eagle Ford pipeline in service , Oct 4 Texas-based Nustar Energy  said on Tuesday its eight-inch pipeline that will transport Eagle Ford crude and condensates to Valero's  Corpus Christi refinery went online on Sept. 21.,topStory
NS,Nustar Energy LP,20111004,Nustar says Eagle Ford pipeline in service , Oct 4 Texas-based Nustar Energy  said on Tuesday its eight-inch pipeline that will transport Eagle Ford crude and condensates to Valero's  Corpus Christi refinery went online on Sept. 21.,normal
PNR,Pentair plc,20111004,UPDATE 2-Flowserve to buy privately held Lawrence Pumps , * Shares down 4 pct at 2-year low   (Adds details  share movement),topStory
PBR,Petroleo Brasileiro SA- Petrobras,20111004,US Cash Products-Chicago products boosted by pipe closure , * Gulf gasoline rises on pipe scheduling  refinery problem,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20111004,Petrobras says Pasadena refinery production shut , HOUSTON  Oct 4 Petrobras   said its 100 000 barrel per day Pasadena  Texas  refinery remains out of production following a Friday fire.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20111004,US Cash Products-Chicago products boosted by pipe closure , * Gulf gasoline rises on pipe scheduling  refinery problem,normal
PBR,Petroleo Brasileiro SA- Petrobras,20111004,Tanzania arrests 7 pirates after attack on oil vessel , DAR ES SALAAM  Oct 4 Tanzania has arrested seven suspected Somali pirates after an attack on an oil and gas exploration ship operated by Brazilian petroleum company Petrobras off the coast of the east African country.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20111004,BNDES OKs PDVSA guarantees for refinery -Petrobras , SAO PAULO  Oct 3 Brazil's development bank BNDES has accepted the guarantees provided by Venezuelan state oil company PDVSA to remain as a partner in a refinery  Brazil's state oil giant Petrobras  said on Monday.,normal
PFE,Pfizer Inc,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,topStory
PFE,Pfizer Inc,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
PFE,Pfizer Inc,20111004,Citi  BofA cut workers after US tax holiday-report , WASHINGTON  Oct 4 Ten major U.S. corporations  including big banks Citigroup Inc  and Bank of America Corp   laid off workers after enjoying a tax holiday in 2004-2005 that had been billed as a form of economic stimulus  said a report released on Tuesday.,normal
PNC,PNC Financial Services Group Inc (The),20111004,Bankers strike dour note on U.S. bank M&A ,NEW YORK Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",topStory
PNC,PNC Financial Services Group Inc (The),20111004,Bankers strike dour note on U.S. bank M&A , NEW YORK  Oct 4 Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
PKX,POSCO,20111004,S.Korea-Market Factors to watch Oct 5 , SEOUL  Oct 5 Following is a list of events in South Korea as well as news stories and press reports which may influence financial markets.	 (Reuters News welcomes your feedback and for any queries  please contact the Seoul newsroom at +822 3704 5640 or via email at kr.rtrs@gmail.com),topStory
PLD,Prologis Inc,20111004,Atrium appoints David Doyle as CFO , LONDON  Oct 4 Property development group Atrium European Real Estate appointed David Doyle as its chief financial officer  replacing Robert Bolier who is leaving the company to "pursue other business interests"  the company said on Tuesday.,topStory
RGS,Regis Corporation,20111004,UPDATE 1-Beauty salon chain lands back in US bankruptcy , * Company proposes restructuring similar to last year's,topStory
RIO,Rio Tinto Plc,20111004,PRESS DIGEST-Australian Business News - Oct 5 , SYDNEY  Oct 5    Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
RIO,Rio Tinto Plc,20111004,UPDATE 1-LMEWEEK-Aluminium demand slowdown not dramatic-Rio Tinto Alcan , LONDON  Oct 4 Demand for aluminium is slowing but not dramatically  with Asia holding up well  North America flat and Europe faring worst  a Rio Tinto Alcan   executive said on Tuesday.,normal
RIO,Rio Tinto Plc,20111004,LMEWEEK-Aluminium demand slowdown not dramatic-Rio Tinto Alcan , LONDON  Oct 4 Demand for aluminium is slowing but not dramatically so  Gordon Hamilton  who is vice president  metal management sales and marketing at Rio Tinto Alcan     said on Tuesday.,normal
RAD,Rite Aid Corporation,20111004,UPDATE 3-Jean Coutu sees generics hurting sales , Oct 4 Canada's Jean Coutu  said on Tuesday it expects a rise in generic drug prescriptions to dent retail sales generated by the drugstore chain in the coming quarters  sending its stock down as much as 5.3 percent.,topStory
RCI,Rogers Communication Inc,20111004,RIM shares yo-yo on speculation  Apple event ,TORONTO Shares in Research In Motion ended 2 percent higher in yo-yo trade on Tuesday after rival Apple hinted at threats to RIM's core corporate market  but failed to wow fans and investors with its latest iPhone.,topStory
RCI,Rogers Communication Inc,20111004,UPDATE 2-RIM shares yo-yo on speculation  Apple event , * Apple's iMessage threatens to neutralize RIM's messenger,normal
RCI,Rogers Communication Inc,20111004,CORRECTED - Rogers to offer companies alternative to BlackBerry , * RIM has not yet moved to manage non-BlackBerry devices,normal
RY,Royal Bank Of Canada,20111004,France  Belgium rush to aid of ailing Dexia ,BRUSSELS/PARIS France and Belgium rushed to the aid of Dexia SA  on Tuesday  in what will be the first state rescue of a European bank in the euro zone sovereign debt crisis.,topStory
RY,Royal Bank Of Canada,20111004,UPDATE 5-France  Belgium rush to aid of ailing Dexia , * Healthy operations likely to be sold -source  (Updates after Belgian cabinet meeting),normal
RY,Royal Bank Of Canada,20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Adds traders citing talk of a euro-zone finance minister agreement),normal
RY,Royal Bank Of Canada,20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Updates to close),normal
RY,Royal Bank Of Canada,20111004,Royal Bank of Canada wealth unit eyes global growth ,New York Royal Bank of Canada  aims to increase its client asset base around 10 percent a year by luring top talent away from other firms and through small and medium-sized acquisitions globally as other firms pull back in the difficult economic environment.,normal
RY,Royal Bank Of Canada,20111004,Bankers strike dour note on U.S. bank M&A ,NEW YORK Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
RY,Royal Bank Of Canada,20111004,Bankers strike dour note on U.S. bank M&A , NEW YORK  Oct 4 Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
RY,Royal Bank Of Canada,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,normal
RY,Royal Bank Of Canada,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
RY,Royal Bank Of Canada,20111004,Rivals still emulate UBS "one bank" after scandal ,GENEVA/SINGAPORE UBS would be wrong to ditch its investment bank following a trading scandal  since it is a major draw for rich entrepreneurs seeking corporate finance expertise for their own firms  rival private bankers said.,normal
RBS,Royal Bank Scotland plc (The),20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
RBS,Royal Bank Scotland plc (The),20111004,Dexia: a one-off or warning shot for Europe's banks? , LONDON  Oct 4 State help for ailing Belgian-French bank Dexia sparked concern it will be the first of many banks needing taxpayer support if euro zone politicians fail to get to grips with a deepening debt crisis.,normal
RBS,Royal Bank Scotland plc (The),20111004,London retaining global private wealth crown: Coutts ,GENEVA A shaky economy  threats to slap more tax on the wealthy and images of riots on the streets of London have not damaged the UK's allure for the super rich  a leading private banker said.,normal
RBS,Royal Bank Scotland plc (The),20111004,Rivals still emulate UBS "one bank" after scandal ,GENEVA/SINGAPORE UBS would be wrong to ditch its investment bank following a trading scandal  since it is a major draw for rich entrepreneurs seeking corporate finance expertise for their own firms  rival private bankers said.,normal
RBS,Royal Bank Scotland plc (The),20111004,Rich run for cover as turmoil hits wealth ,GENEVA The world's wealthiest families have embarked on damage limitation rather than seeking to boost their fortunes as financial turmoil erodes their riches  with some so worried they are putting their money in 'catastrophe' portfolios.,normal
RBS,Royal Bank Scotland plc (The),20111004,Canada's RBC eyes big push into Asian private banking ,SINGAPORE Royal Bank of Canada (RBC)   the nation's largest lender  aims to more than double private banking assets in Asia to C$25 billion ($23.8 billion) by 2015  a senior executive said on Tuesday.,normal
RBS,Royal Bank Scotland plc (The),20111004,SGX  Chi-X joint venture reports tripling of trades in Q3 , SINGAPORE  Oct 4 Chi-East  a dark pool joint venture between Singapore Exchange and Nomura's  Chi-X  said the value of trades matched by the firm surged 203 percent in the three months to September over the previous quarter.,normal
CRM,Salesforcecom Inc,20111004,Cloud computing disappoints early adopters: survey ,LONDON Few organizations have moved to cloud computing -- the delivery of computing as a service from remote centers -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,topStory
CRM,Salesforcecom Inc,20111004,Cloud computing disappoints early adopters-survey , LONDON  Oct 4 Few organisations have moved to cloud computing -- the delivery of computing as a service from remote centres -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,normal
SNY,Sanofi,20111004,UPDATE 1-Germany gives preliminary OK to Astra heart drug , * German recommendation covers majority of ACS patients,topStory
SSL,Sasol Ltd,20111004,South African Markets - Factors to watch on Oct 4 , JOHANNESBURG  Oct 4 The following company announcements  scheduled economic indicators  debt and currency market moves and political events may affect South African markets on Tuesday.,topStory
SNE,Sony Corp Ord,20111004,IBM buys Q1 Labs to expand in security software ,IBM Corp  will buy security software provider Q1 Labs as it looks to expand in a market which has seen recent high-profile cyber attacks on victims from Sony Corp  to the British police.,topStory
SNE,Sony Corp Ord,20111004,UPDATE 3-IBM buys Q1 Labs to expand in security software , * Security software & services is a $94 bln market opportunity - IBM,normal
SNE,Sony Corp Ord,20111004,IBM expands in security software with Q1 Labs buy ,International Business Machines Corp (IBM) said it is to buy Q1 Labs  a privately-held security intelligence software provider  as it looks to tap into a growing market for security software.,normal
SNE,Sony Corp Ord,20111004,Japan electronics companies battle Europe crisis ,TOKYO Japanese electronics firms are suffering from the downturn in European consumption and the euro's slump to a 10-year low against the yen  senior executives from Sony Corp  Panasonic Corp and Fujitsu Ltd said on Tuesday.,normal
SNE,Sony Corp Ord,20111004,UPDATE 2-Japan electronics companies battle Europe crisis , ,normal
SNE,Sony Corp Ord,20111004,Sony: aim to up euro zone procurement as euro weakens , TOKYO  Oct 4 Sony Corp   wants to increase parts procurement from the euro zone to help ease the impact on profits from a gain in the yen against the common European currency  the consumer electronic company's deputy president said.,normal
BID,Sotheby&#39;s,20111004,Sotheby's fine Chinese painting sale bucks rocky markets ,HONG KONG Demand for classical and fine Chinese paintings was relatively robust at Sotheby's Hong Kong Asia sales on Tuesday despite signs of softening demand for Asian and Chinese contemporary art amid recent financial market volatility.,topStory
BID,Sotheby&#39;s,20111004,Sotheby's fine Chinese painting sale bucks rocky markets ,HONG KONG Demand for classical and fine Chinese paintings was relatively robust at Sotheby's Hong Kong Asia sales Tuesday despite signs of softening demand for Asian and Chinese contemporary art amid recent financial market volatility.,normal
BID,Sotheby&#39;s,20111004,Sotheby's fine Chinese painting sale bucks rocky markets , HONG KONG  Oct 4 Demand for classical and fine Chinese paintings was relatively robust at Sotheby's Hong Kong Asia sales on Tuesday despite signs of softening demand for Asian and Chinese contemporary art amid recent financial market volatility.,normal
LUV,Southwest Airlines Company,20111004,HOW TO PLAY IT: Airline stocks on runway after AMR slide , THE ISSUE: With air traffic falling globally in recent months  all it took was whispers of a possible AMR bankruptcy filing to put the sector into a tailspin. What routes can you take with turbulence again hitting airlines?,topStory
S,Sprint Corporation,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,topStory
S,Sprint Corporation,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
S,Sprint Corporation,20111004,Instant view: Apple's latest iPhone fails to excite ,NEW YORK New Apple Inc CEO Tim Cook presided over the company's first major media launch since taking over from Steve Jobs in August  but the latest version of the iPhone he unveiled did not excite investors  sending its shares down as much as 5 percent.,normal
S,Sprint Corporation,20111004,UPDATE 1-Apple to showcase new iPhone after 15-month hiatus , * Apple event starts at 1 pm Eastern  (Adds share prices  details on Google rivalry),normal
S,Sprint Corporation,20111004,Apple to showcase new iPhone after 15-month hiatus , SAN FRANCISCO  Oct 4 Apple Inc  looks set to unveil a new iPhone on Tuesday after a 15-month hiatus  hoping to fend off hard-charging rivals running Google Inc's  Android and safeguard its lead with the fifth incarnation of the iconic device.,normal
STO,Statoil ASA,20111004,Eni says awarded block North Ganal in Indonesia , MILAN  Oct 4 Italian oil and gas company Eni  was awarded an offshore oil and gas block in North Ganal  Indonesia  in a consortium with France's GDF Suez    Norway's Statoil and Niko Resources   the company said on Tuesday.,topStory
STO,Statoil ASA,20111004,Interior affirms disputed Alaska Chukchi lease sale , ANCHORAGE  Alaska  Oct 3 Interior Secretary Ken Salazar on Monday formally approved a disputed Bush-era oil lease sale in the Chukchi Sea off northwestern Alaska  a remote site where Royal Dutch Shell  seeks to drill exploration wells next year.,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111004,UPDATE 1-JBIC to offer $43 bln credit line to big banks - Nikkei , Oct 5 The Japan Bank for International Cooperation will offer credit lines worth $43 billion to three major banks to counter the effects of a strong yen  the Nikkei Japanese daily reported.,topStory
SMFG,Sumitomo Mitsui Financial Group Inc,20111004,BRIEF-Moody's reviews Promise's rtgs for possible upgrade , * Moody's reviews Promise's ratings for possible upgrade,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111004,BRIEF-Moody's affirms SMBC ratings; outlook stable ,  Oct 04 Sumitomo Mitsui Banking Corporation,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20111004,TEXT-S&P: Rtngs on Japan's Promise placed on creditwatch pos , (The following statement was released by the rating agency),normal
SU,Suncor Energy  Inc,20111004,Canada bars new investment in Syrian oil sector , OTTAWA  Oct 4 Canada announced on Tuesday it was banning new investment in Syria's oil sector as part of a fresh sanctions package but it was not immediately clear whether Suncor's  Syrian operations would be affected.,topStory
SUN,Sunoco LP,20111004,UPDATE 1-Sunoco shuts Marcus Hook CDU  reformer for 2 weeks , * Harbor gasoline differentials rose 3.00 cents per gallon  (Adds details),topStory
SUN,Sunoco LP,20111004,US Cash Products-Chicago products boosted by pipe closure , * Gulf gasoline rises on pipe scheduling  refinery problem,normal
SUN,Sunoco LP,20111004,Sunoco shuts Marcus Hook CDU  reformer for 2 weeks , NEW YORK  Oct 4 Sunoco Inc  shut a crude unit and a reformer at its 178 000-barrels-per-day refinery in Marcus Hook  Pennsylvania for two weeks of work  trading sources said on Tuesday.,normal
TGT,Target Corporation,20111004,PRESS DIGEST - CANADA - Oct 4 , Oct 4 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
TTM,Tata Motors Ltd,20111004,INSIGHT-Indian state rolls out red carpet for carmakers , * Pro-business government attracts international companies,topStory
