AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
MSI,Motorola Solutions Inc,20110926,Motorola Solutions probed for bribery: report ,Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,topStory
MSI,Motorola Solutions Inc,20110926,Motorola Solutions probed for bribery - WSJ , Sept 26 Motorola Solutions Inc  is being investigated by U.S. regulatory authorities on whether the company paid bribes to win business in Europe  the Wall Street Journal reported  citing people familiar with the matter.,normal
NGG,National Grid Transco PLC,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
NGG,National Grid Transco PLC,20110926,UPDATE 1-National Grid to sell U.S. unit for $152.5 mln , * Sale price of $152.5 mln in cash with adjustment for working capital   (Adds details),normal
SID,National Steel Company,20110926,Q+A-Usiminas' equity ownership , TOKYO  Sept 26 Speculations are high that Brazilian steelmaker CSN is interested in buying shares in rival Usiminas from Brazilian industrial conglomerates Camargo Correa and Votorantim.,topStory
NSM,Nationstar Mortgage Holdings Inc,20110926,Fitch affirms TI  raises National Semiconductor ,(The following statement was released by the rating agency.) CHICAGO  September 26 (Fitch) Following Texas Instruments  (TI) completion of its acquisition of National Semiconductor  (NSC) announced this morning  Fitch Ratings has affirmed the following ratings for TI: --Long-term Issuer Default Rating (IDR) at 'A+'; --Short-term IDR at 'F1'; --Commercial paper (CP) program at 'F1'; --Senior unsecured revolving credit facility (RCF) at 'A+'; --Senior unsecured notes at ',topStory
NBL,Noble Energy Inc,20110926,UPDATE 4-Mediterranean gas feud escalates; Turks explore , * Erdogan to Greek PM: drilling should follow peace deal-official,topStory
NBL,Noble Energy Inc,20110926,UPDATE 3-Greece urges Turkey to be calm on Cyprus drilling , * Erdogan to Greek PM: drilling should follow peace deal-official,normal
NMR,Nomura Holdings Inc ADR,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
NMR,Nomura Holdings Inc ADR,20110926,Goldman at top of Japan M&A table with steel deal ,TOKYO Goldman Sachs  has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura  to second place for now.,normal
NMR,Nomura Holdings Inc ADR,20110926,Goldman at top of Japan M&A table with steel deal , TOKYO  Sept 26 Goldman Sachs has risen to the top spot of Japan's M&A league table so far in 2011 after securing an advisory role in a $22.5 billion steel industry merger  relegating perennial leader Nomura to second place for now.,normal
JWN,Nordstrom Inc,20110926,Canada a magnetic north for U.S. retailers , * Cross-border shopping builds familiarity with U.S. names,topStory
NOC,Northrop Grumman Corporation,20110926,China foreign minister warns Clinton on F-16 deal ,NEW YORK China's foreign minister urged the United States on Monday to reconsider its decision to upgrade Taiwan's F-16 jet fighter fleet  saying it could harm ties between Washington and Beijing  a U.S. official said.,topStory
NOC,Northrop Grumman Corporation,20110926,UPDATE 3-China foreign minister warns Clinton on F-16 deal , * China indicates some joint military activities affected,normal
NOC,Northrop Grumman Corporation,20110926,Boeing says Japan could produce F-18 under license ,TOKYO U.S. planemaker Boeing  said local defense contractors might build F/A 18 Super Hornets under license if Japan chose to buy the next-generation fighter jet.,normal
NRG,NRG Energy Inc,20110926,RPT-NY can replace Indian Point reactors-Governor Cuomo , * Indian Point reactor licenses expire in 2013 and 2015,topStory
NRG,NRG Energy Inc,20110926,New York can replace Indian Point reactors: Governor Cuomo ,NEW YORK New York Governor Andrew Cuomo is confident the state can replace the power generated by the giant Indian Point nuclear plant  but offered no details during an online Town Hall chat with New Yorkers over the weekend.,normal
ORI,Old Republic International Corporation,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
OKE,ONEOK Inc,20110926,UPDATE 1-ONEOK Partners forecasts 20 pct higher 2012 profit , Sept 26 Natural gas processor ONEOK Partners LP  forecast 2012 net income to rise by a fifth helped by higher natural gas gathering and processing volumes from projects which will be placed into service next year.,topStory
ORA,Ormat Technologies Inc,20110926,SolarCity latest to see U.S. loan loss post-Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,topStory
P,Pandora Media Inc,20110926,After Facebook event  a dot-com boom-scaled party ,SAN FRANCISCO When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,topStory
P,Pandora Media Inc,20110926,CORRECTED - After Facebook event  a dot-com boom-scaled party , SAN FRANCISCO  Sept 23 When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
PTR,PetroChina Company Limited,20110926,UPDATE 1-Arrow raises offer for Australia's Bow Energy to $524 mln , * New resources would allow Arrow LNG trains 1 & 2 to expand to 4.6 mtpa,topStory
PTR,PetroChina Company Limited,20110926,CNOOC sees little need for Q4 spot LNG imports , CHENGDU  China  Sept 26 China's CNOOC  the country's largest LNG player  has little appetite for spot imports of liquefied natural gas for this winter  as a jump in Japanese demand following the March tsunami has tightened near-term supply and led to a surge in freight costs  a company official said on Monday.,normal
PTR,PetroChina Company Limited,20110926,Arrow raises offer for Australia's Bow Energy to $524 mln , Sept 26 Arrow Energy  a venture between Shell  and PetroChina   has raised its offer for Australian gas explorer Bow Energy to A$535 million ($524.2 million).,normal
PBR,Petroleo Brasileiro SA- Petrobras,20110926,Exchange rate to inflate Petrobras dollar debt-CFO , * Impact seen short-term  dollar revenues a hedge - CFO,topStory
PFE,Pfizer Inc,20110926,UPDATE 1-Novartis's Afinitor shows promise in breast cancer , * Afinitor + Aromasin ups progression-free survival by 7 months,topStory
PHI,PLDT Inc,20110926,UPDATE 1-SE Asia Stocks-Thailand leads regional slump , * Thai stocks at 13-month low; sell-off spurs margin calls,topStory
PHI,PLDT Inc,20110926,SE Asia Stocks-Thailand plunges to lowest in a year , BANGKOK  Sept 26 Stocks in Thailand  Indonesia and the Philippines fell sharply on Monday  with big-caps and financial shares hit hardest  as fears of a global recession pushed investors to take cash out of markets that have done relatively well this year.,normal
PG,Procter & Gamble Company (The),20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
PG,Procter & Gamble Company (The),20110926,PRESS DIGEST - Financial Times - Sept 26 , UBS chief executive Oswald Grubel resigned after the board refused to back his plans to overhaul the bank's strategy and corporate governance  according to two people involved in the process. http://www.ft.com/cms/s/0/1b9b0682-e7c4-11e0-9da3-00144feab49a.html,normal
TLK,PT Telekomunikasi Indonesia Tbk,20110926,. ,.	  ,topStory
TLK,PT Telekomunikasi Indonesia Tbk,20110926,Sarana  Tower Bersama lead race for Indosat telecom towers-sources , JAKARTA/HONG KONG  Sept 26 Indonesian telecom tower firms Sarana Menara Nusantara Tbk PT and Tower Bersama Infrastructure Tbk PT are leading the race to buy about 4 000 towers worth about $500 million from Indosat Tbk PT   three sources said on Monday.,normal
RDN,Radian Group Inc,20110926,UPDATE 4-Radian looking to form mutual bond insurance co , *    (Adds quotes  clarifies cause of insurance meltdown),topStory
RTN,Raytheon Company,20110926,China foreign minister warns Clinton on F-16 deal ,NEW YORK China's foreign minister urged the United States on Monday to reconsider its decision to upgrade Taiwan's F-16 jet fighter fleet  saying it could harm ties between Washington and Beijing  a U.S. official said.,topStory
RTN,Raytheon Company,20110926,UPDATE 3-China foreign minister warns Clinton on F-16 deal , * China indicates some joint military activities affected,normal
RTN,Raytheon Company,20110926,Boeing says Japan could produce F-18 under license ,TOKYO U.S. planemaker Boeing  said local defense contractors might build F/A 18 Super Hornets under license if Japan chose to buy the next-generation fighter jet.,normal
RELX,RELX PLC,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
RELX,RELX PLC,20110926,Reed Elsevier to buy financial data firm Accuity ,LONDON Anglo-Dutch publisher Reed Elsevier NV   is bolstering its financial data offer by buying U.S. company Accuity for 343 million pounds ($530 million) to combine with its Bankers' Almanac and LexisNexis Risk Solutions assets.,normal
RELX,RELX PLC,20110926,French and Benelux stocks-Factors to watch on Sept 26 , PARIS  Sept 26 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
RELX,RELX PLC,20110926,UPDATE 1-Reed Elsevier to buy financial data firm Accuity , * Will complement Bankers' Almanac and LexisNexis Risk Solutions   (adds details),normal
RIO,Rio Tinto Plc,20110926,RPT-UPDATE 4-Ivanhoe shares fall as Mongolia rethinks mine pact , * Minister says Mongolia wants to renegotiate agreement,topStory
RIO,Rio Tinto Plc,20110926,UPDATE 4-Ivanhoe shares fall as Mongolia rethinks mine pact ,   * Minister says Mongolia wants to renegotiate agreement,normal
RIO,Rio Tinto Plc,20110926,UPDATE 1-Market Chatter -- Corporate finance press digest , (Adds items on Rio Tinto  Groupama  Dexia  ThyssenKrupp),normal
RIO,Rio Tinto Plc,20110926,Rio Tinto eyeing Australia aluminum business spin-off: report ,Global miner Rio Tinto is considering spinning off part of its Australian aluminum assets as a planned carbon tax would raise costs and lower margins  a local newspaper reported Monday.,normal
RIO,Rio Tinto Plc,20110926,REFILE-UPDATE 1-Rio Tinto eyeing Australia aluminum business spin-off: paper , Sept 26 Global miner Rio Tinto   is considering spinning off part of its Australian aluminium assets as a planned carbon tax would raise costs and lower margins  a newspaper reported Monday.,normal
RY,Royal Bank Of Canada,20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone optimism takes hold , * Rebounds from 14-month low reached earlier in session,topStory
RY,Royal Bank Of Canada,20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone hopes trump fear , * Rebounds from 14-month low reached earlier in session,normal
RY,Royal Bank Of Canada,20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,normal
RY,Royal Bank Of Canada,20110926,CANADA STOCKS-TSX touches 14-month low on euro zone fears , TORONTO  Sept 26 Toronto's main stock index fell in volatile trade on Monday  touching a 14-month low  as investors worried that European governments and banks would be unable to solve the region's debt crisis and avert the threat of a global recession.,normal
RBS,Royal Bank Scotland plc (The),20110926,UPDATE 1-RBS hires ex-Savills CEO for property arm , * Aubrey Adams to be head of property in RBS restructuring unit,topStory
RBS,Royal Bank Scotland plc (The),20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
SRE,Sempra Energy,20110926,SolarCity latest to see U.S. loan loss post-Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,topStory
SKM,SK Telecom Co Ltd,20110926,Hynix advisors approaching potential bidders: source ,SEOUL Advisors in the sale of a controlling stake in Hynix Semiconductor are tapping potential bidders as shareholders are now open to new bids for the world's No.2 memory chipmaker after STX pulled out  an official with one of the shareholders said.,topStory
SKM,SK Telecom Co Ltd,20110926,Hynix advisors approaching potential bidders: source ,SEOUL Advisors in the sale of a controlling stake in Hynix Semiconductor are tapping potential bidders as shareholders are now open to new bids for the world's No.2 memory chipmaker after STX pulled out  an official with one of the shareholders said.,normal
SKM,SK Telecom Co Ltd,20110926,UPDATE 1-Hynix advisors approaching potential bidders -source , * Hynix shareholders welcome new bidders  but no opportunity for due diligence   (Adds details  share prices),normal
SKM,SK Telecom Co Ltd,20110926,Hynix sale advisors approaching potential bidders -source , SEOUL  Sept 26 Advisors in the sale of a controlling stake in Hynix are tapping potential bidders as shareholders are now open to new bids for the world's No.2 memory chipmaker after STX pulled out  an official with one of the shareholders said.,normal
SNE,Sony Corp Ord,20110926,3D "Lion King" rules box office for second week ,LOS ANGELES "The Lion King" fended off Brad Pitt to keep the box-office crown for a second straight weekend. | Video ,topStory
S,Sprint Corporation,20110926,T-Mobile USA promises speed boost from new phones ,T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,topStory
S,Sprint Corporation,20110926,T-Mobile USA promises speed boost from new phones ,  Sept 26 T-Mobile USA plans next month to launch two smartphones that double the speed of its wireless data service in the hope of attracting new customers to the No. 4 U.S. mobile provider.,normal
STO,Statoil ASA,20110926,Statoil to invest NOK 10 bln at Skuld off Norway , OSLO  Sept 26 Norway's Statoil said on Monday it plans to invest some 10 billion Norwegian crowns ($1.7 billion) with its partners to develop the Skuld field in the Norwegian sea  whose reserves Statoil estimated at 90 billion barrels of oil equivalent.,topStory
STO,Statoil ASA,20110926,Statoil may export more LNG to Japan , * One LNG cargo from Snoehvit on its way to Japan -Statoil,normal
SU,Suncor Energy  Inc,20110926,UPDATE 2-Suncor says not ready to return employees to Libya , * Says Libya partner Harouge ready to resume production,topStory
SVU,SuperValu Inc,20110926,Carrefour plans upscale food store in central Paris ,PARIS Carrefour's  plan to open a premium food store on La Madeleine square in the heart of Paris has raised eyebrows at a time when Europe's largest retailer has vowed to cut prices to revive ailing French operations.,topStory
SVU,SuperValu Inc,20110926,Carrefour plans upscale food store in central Paris , * One-off premium food store to be located in heart of Paris,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20110926,Samsung's legal woes threaten to crimp tablets  chips ,SEOUL An intensifying legal battle between Samsung Electronics Co and Apple Inc is expected to crimp growth at one of the fastest growing businesses of the Korean company  while threatening to worsen business ties with the firm's largest customer. | Video ,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20110926,UPDATE 1-Samsung's legal woes threaten to crimp tablets  chips , * Apple blocks Samsung from selling new tablets in Germany,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20110926,Samsung's legal woes threaten to crimp tablets  chips , * Apple blocks Samsung from selling new tablets in Germany,normal
GCI,TEGNA Inc,20110926,S&P revises Gannett outlook to stable from positive ,(The following statement was released by the rating agency.),topStory
TEVA,Teva Pharmaceutical Industries Limited,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
TEVA,Teva Pharmaceutical Industries Limited,20110926,UPDATE 2-Teva buys rest of Japanese JV for $150 mln , * Operations in Japan to generate annual sales of over $800 mln,normal
TEVA,Teva Pharmaceutical Industries Limited,20110926,BRIEF-Teva to reach $1 bln in Japan sales before 2015 , Sept 26 Teva Pharmaceutical Industries   President and CEO Shlomo Yanai told Reuters:,normal
TXT,Textron Inc,20110926,Composites a big bet for 787 and for Boeing ,To engineers  the Boeing Co  787 is made from reinforced carbon composites. To everyone else  the Dreamliner is the world's first plastic jet. | Video ,topStory
TXT,Textron Inc,20110926,Composites a big bet for 787 and for Boeing ,  (For more on Boeing's long-awaited 787 Dreamliner  see [ID:nS1E78O066]),normal
BX,The Blackstone Group LP,20110926,UPDATE 2-Equity One to sell 36 centers to Blackstone , * Blackstone to pay $295.7 plus mortgage debt  (Rewrites first sentence; adds Blackstone context),topStory
BX,The Blackstone Group LP,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,normal
BX,The Blackstone Group LP,20110926,Blackstone in first China property exit - source , HONG KONG  Sept 26 Blackstone Group LP is selling its stake in Shanghai's Channel 1 shopping mall to Hong Kong's New World Development Co for 1.46 billion yuan ($229 million)  marking its first exit from a real estate investment in China  a source familiar with the matter said.,normal
BX,The Blackstone Group LP,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
TIF,Tiffany & Co,20110926,Canada a magnetic north for U.S. retailers , * Cross-border shopping builds familiarity with U.S. names,topStory
TWX,Time Warner Inc,20110926,Charlie Sheen settles lawsuit over "Men" firing ,LOS ANGELES Charlie Sheen has settled a lawsuit with the makers and creators of "Two and A Half Men" over the actor's dismissal from the top-rated U.S. television comedy earlier this year  Warner Bros. said on Monday.,topStory
TWX,Time Warner Inc,20110926,UPDATE 1-Charlie Sheen settles lawsuit over "Men" firing , LOS ANGELES  Sept 26 Charlie Sheen has settled a lawsuit with the makers and creators of "Two and A Half Men" over the actor's dismissal from the top-rated U.S. television comedy earlier this year  Warner Bros. said on Monday.,normal
TWX,Time Warner Inc,20110926,Charlie Sheen  Warner Bros settle over "Men" firing , LOS ANGELES  Sept 26 Charlie Sheen and the makers and creators of "Two and A Half Men" have settled a lawsuit over the actor's dismissal from the top-rated U.S. television comedy  Warner Bros. said on Monday.,normal
TWX,Time Warner Inc,20110926,3D "Lion King" rules box office for second week ,LOS ANGELES "The Lion King" fended off Brad Pitt to keep the box-office crown for a second straight weekend. | Video ,normal
TWX,Time Warner Inc,20110926,Netflix edges out HBO for Dreamworks deal-NY Times , LOS ANGELES  Sept 25 Netflix Inc  has won a deal to pipe Dreamworks Animation  movies starting in 2013  the first time a major Hollywood studio has chosen Internet streaming over traditional pay TV  The New York Times reported on Sunday.,normal
TJX,TJX Companies Inc (The),20110926,Canada a magnetic north for U.S. retailers , * Cross-border shopping builds familiarity with U.S. names,topStory
TOL,Toll Brothers Inc,20110926,US SMALL/MIDCAPS-Stocks slip; weakness in home builders , NEW YORK  Sept 26 Small- and mid-capitalization stocks declined on Monday  with home builder stocks hurt by a a brokerage's lowered price target and data showing a drop in new U.S. home sales last month.,topStory
TD,Toronto Dominion Bank (The),20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone optimism takes hold , * Rebounds from 14-month low reached earlier in session,topStory
TD,Toronto Dominion Bank (The),20110926,CANADA STOCKS-TSX jumps 2 pct as euro zone hopes trump fear , * Rebounds from 14-month low reached earlier in session,normal
TD,Toronto Dominion Bank (The),20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,normal
TD,Toronto Dominion Bank (The),20110926,CANADA STOCKS-TSX touches 14-month low on euro zone fears , TORONTO  Sept 26 Toronto's main stock index fell in volatile trade on Monday  touching a 14-month low  as investors worried that European governments and banks would be unable to solve the region's debt crisis and avert the threat of a global recession.,normal
TOT,Total SA,20110926,UPDATE 2-Eni restarts its Libya oil production , * Saras welcomes news  could restart own ops by year-end,topStory
TOT,Total SA,20110926,UPDATE 2-Nigerian central bank breaches naira support band , * Cbank monetary policy has been to defend naira   (Adds analyst comment  recasts),normal
TOT,Total SA,20110926,Europe Distillates-Diffs dip amid crude volatility , LONDON  Sept 26 European middle distillate differentials dipped in thin trading on Monday  with volatile feedstock crude prices pushing investors to the sidelines.,normal
TOT,Total SA,20110926,Uganda asks Tullow  others to drop protective clause , KAMPALA  Sept 26 Uganda wants British oil explorer Tullow Oil   France's Total and Chinese group CNOOC to drop a clause shielding them from sudden changes in policy before approving a $10 billion oil project  sources said on Monday.,normal
TOT,Total SA,20110926,UPDATE 2-Total raises oil and gas output target , * Sees annual output up 3 pct from 2010-15  vs 2 pct previously,normal
TOT,Total SA,20110926,Oil major Total raises production growth target , PARIS  Sept 26 French oil major Total  on Monday raised its oil and gas production target as acquisitions  project start-ups and new discoveries boosted the group's energy portfolio.,normal
TOT,Total SA,20110926,Initial price guidance set for Saudi Aramco  Total sukuk , DUBAI  Sept 26 Saudi Aramco and French oil group Total have set initial price guidance for their expected 3.75 billion Saudi riyal ($1 billion) Islamic bond at 6-month Saudi interbank offered rate (SAIBOR)  plus 95-105 basis points.,normal
TOT,Total SA,20110926,French and Benelux stocks-Factors to watch on Sept 26 , PARIS  Sept 26 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
TOT,Total SA,20110926,French and Benelux stocks-Factors to watch on Sept 26 , PARIS  Sept 26 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
TOT,Total SA,20110926,French and Benelux stocks-Factors to watch on Sept 26 , PARIS  Sept 26 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,Japan's yen policy puts output at risk: Ghosn ,NEW YORK Nissan Motor Co  Chief Executive Carlos Ghosn said the Japanese government's efforts to rein in the rise of the yen had failed  forcing manufacturers to reduce investment in Japan and shift output elsewhere. | Video ,topStory
TM,Toyota Motor Corp Ltd Ord,20110926,UPDATE 1-Ford sees Chinese market up 5-6 pct in 2011 , BEIJING  Sept 26 A Ford Motor executive said China's car market would likely grow 5-6 percent this year  at the low end of previous guidance from the U.S. carmaker  after the government removed most of its policy incentives.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,Ford downgrades outlook for China car market growth -exec , BEIJING  Sept 26 Ford Motor has downgraded its growth projection for China's car market this year  to about five percent  after Beijing stripped away most of its policy incentives  a senior executive said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,Toyota enters Japan minicar market with Pixis Space , TOKYO  Sept 26 Toyota Motor Corp on Monday launched its first car in Japan's growing 660cc minivehicle segment in a move that is set to intensify competition in the shrinking domestic market.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,UPDATE 1-Toyota mulls shifting Korea-bound Camry output-Nikkei , TOKYO  Sept 26 Toyota Motor Corp is considering shifting production of South Korea-bound Camry autos to the United States from Japan to help lower export costs of the sedan  the Nikkei business daily reported on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,Toyota mulls shifting Korea-bound Camry output to U.S.: Nikkei ,TOKYO Toyota Motor Corp  is considering shifting production of South Korean-bound Camry autos to the United States from Japan  the Nikkei business daily reported on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20110926,Toyota mulls shifting Korea-bound Camry output-Nikkei , TOKYO  Sept 26 Toyota Motor Corp is considering shifting production of South Korean-bound Camry autos to the United States from Japan  the Nikkei business daily reported on Monday.,normal
TRP,TransCanada Corporation,20110926,UPDATE2-Keystone pipeline hearing draws supporters  few critics , * Critics say route threatens key aquifer  (Changes headline  adds comments from Texas hearing),topStory
TRP,TransCanada Corporation,20110926,Keystone oil pipeline to face critics as hearings begin , PORT ARTHUR  Texas  Sept 26 Critics of TransCanada Corp's  Keystone XL oil pipeline to Texas will have the opportunity to launch last-ditch efforts to block the $7 billion project at local hearings across the Midwest.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20110926,UPDATE 2-Cukurova asks court to block Turkcell EGM , ISTANBUL  Sept 26 Cukurova Holding filed a lawsuit to block a planned extraordinary general meeting of Turkcell   in a bid to stave off a fresh attempt by Cukurova's Nordic and Russian partners to oust Turkcell's chairman.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20110926,Cukurova asks court to cancel Turkcell EGM , ISTANBUL  Sept 26 Turkey's Cukurova Holding filed a court case to cancel a Turkcell extraordinary general meeting (EGM) due on Oct.12 along with the meeting's agenda  Cukurova said in a statement to the Istanbul stock exchange on Monday  marking the latest twist in a disagreement with fellow shareholders in Turkey's largest mobile operator.,normal
UBS,UBS AG,20110926,UBS's new CEO commits to keeping U.S. brokerage ,NEW YORK UBS AG's top two executives reassured the company's U.S. brokers and advisers on Monday that the embattled Swiss banking giant has no plans to sell UBS Wealth Management Americas.,topStory
UBS,UBS AG,20110926,UPDATE 1-UBS's new CEO commits to keeping US brokerage , * Brokers on defensive with clients over latest scandal,normal
UBS,UBS AG,20110926,ETF industry braces itself for transparency push ,PARIS Top heavyweights from the $1.3 trillion exchange-traded fund (ETF) industry are bracing themselves for a shift in how their fast-growing but relatively opaque products are marketed  distributed and regulated.,normal
UBS,UBS AG,20110926,New UBS CEO says US brokerage unit not for sale , NEW YORK  Sept 26 The top two UBS executives on Monday told U.S. brokers that the sudden departure of group chief executive Oswald Grubel will not lead to a sale of the unit.,normal
UBS,UBS AG,20110926,ETF industry braces itself for transparency push , * More transparency  disclosure for retail investors-reg,normal
UBS,UBS AG,20110926,Shareholder group wants Weber to join UBS board soon ,ZURICH Shareholder group Ethos on Monday said it wanted ex-Bundesbank chief Axel Weber to join the board of directors of Swiss bank UBS as soon as possible.,normal
UBS,UBS AG,20110926,TEXT-S&P: UBS AG ratings unaffected by CEO resignation , (The following statement was released by the rating agency),normal
UBS,UBS AG,20110926,UBS chief left after clash on strategy: FT ,UBS AG's chief executive Oswald Grübel's resignation came after the bank's board refused to support his plan to overhaul the bank's strategy and corporate governance  The Financial Times reported on Sunday.,normal
UBS,UBS AG,20110926,UBS chief left after clash on strategy - FT , Sept 26 UBS AG's chief executive Oswald Grübel's resignation came after the bank's board refused to support his plan to overhaul the bank's strategy and corporate governance  The Financial Times reported on Sunday.,normal
UL,Unilever PLC,20110926,S.Africa's Bidvest to buy Namibia distributor for $23 mln , JOHANNESBURG  Sept 26 South Africa's Bidvest Group said it will pay $23 million for Taeuber & Corssen  a Namibian distributor fast-moving consumer goods  in a cash and shares deal.,topStory
UAL,United Continental Holdings Inc,20110926,United pilots sue to stop merger integration ,Pilots at United Airlines asked a federal judge on Monday to halt integration with Continental Airlines  saying the company is moving too fast in its bid to merge operations fully.,topStory
UAL,United Continental Holdings Inc,20110926,United pilots sue to stop merger integration , Sept 26 Pilots at United Airlines asked a federal judge on Monday to halt integration with Continental Airlines  saying the company is moving too fast in its bid to merge operations fully.,normal
UPS,United Parcel Service Inc,20110926,UPDATE 1-Geithner touts U.S. jobs plan on Kentucky visit , * Flight delays cost Americas $33 billion a year  (Adds Geithner interview  paragraphs 12-14),topStory
UPS,United Parcel Service Inc,20110926,Geithner touts U.S. jobs plan on Kentucky visit , LOUISVILLE  Ky.  Sept 26 U.S. Treasury Secretary Timothy Geithner touted the administration's jobs proposal in the hometown of one of the plan's top Republican opponents  less than a week after President Barack Obama made his pitch in neighboring Ohio.,normal
UPS,United Parcel Service Inc,20110926,U.S. to print stamps with images of living people , * Postal Service asking for names of people to be honored,normal
VALE,VALE SA,20110926,Brazil's Vale proposes record dividend in 2011 , RIO DE JANEIRO  Sept 26 Brazilian mining giant Vale  said on Monday that management has proposed to boost dividend payments to a record $9 billion this year.,topStory
VRX,Valeant Pharmaceuticals International Inc,20110926,Deals of the day - mergers and acquisitions , Sept 26 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Monday:,topStory
VRX,Valeant Pharmaceuticals International Inc,20110926,REFILE-UPDATE 1-Valeant offers C$88 mln for Afexa  tops Paladin , * Afexa shares jump 16 pct to C$0.87  (Adds share price jump  details),normal
VRX,Valeant Pharmaceuticals International Inc,20110926,Valeant to offer C$88 mln for Afexa  tops Paladin ,   * Valeant offer for C$0.85/share  subject to conditions,normal
VRX,Valeant Pharmaceuticals International Inc,20110926,CANADA STOCKS-TSX may open higher on euro zone action plan , Sept 26 Toronto's main stock index looked set to open higher on Monday  buoyed by hopes of stronger action by the European Central Bank to solve the euro zone crisis and avert wider financial contagion and a global recession.,normal
VRX,Valeant Pharmaceuticals International Inc,20110926,UPDATE 1-Valeant to sweeten bid for Afexa , Sept 25 Valeant Pharmaceuticals International  said on Monday it planned raise its takeover offer for Canadian cold and flu medicine maker Afexa Life Sciences  to 85 Canadian cents a share  topping from Paladin Labs.,normal
VLO,Valero Energy Corporation,20110926,Valero reports amine unit shut at Texas City refinery , (For refinery outages in the Reuters Oil FundamentalsDatabase see http://bond.views.session.rservices.com/CE/ or go to  ),topStory
