ATVI,Activision Blizzard Inc,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
TRI,Thomson Reuters Corp,20121108,FX trading on Thomson Reuters platform falls in October ,LONDON  Nov 8 Daily spot foreign exchange trading volumes on Thomson Reuters dealing platforms fell by 23 percent in October from a year earlier  company data showed on Thursday.,normal
TSS,Total System Services Inc,20121108,Sanofi eclipses Total as France's biggest company ,PARIS  Nov 8 Drugmaker Sanofi became France's biggest listed company on Thursday  surpassing oil giant Total as the top stock by market value on the CAC 40  a position Total had been commanding for 12 years.,topStory
TM,Toyota Motor Corp Ltd Ord,20121108,ADR REPORT-Japan ADRS tumble after weak domestic data ,NEW YORK  Nov 8 U.S.-listed shares of Japanese companies tumbled on Thursday as worse-than-expected domestic machinery orders figures increased concerns that Japan's economy was slipping into recession and as strength in the yen weighed on major exporters like Toyota Motor Corp.,topStory
UAL,United Continental Holdings Inc,20121108,United Continental says Sandy dented October revenue  profit ,United Continental Holdings  the world's largest air carrier  said disruptions to operations including the cancellation of nearly 5 300 flights because of superstorm Sandy  reduced revenue and profit in October.,topStory
UAL,United Continental Holdings Inc,20121108,United Continental says Sandy dented October revenue  profit ,United Continental Holdings  the world's largest air carrier  said disruptions to operations including the cancellation of nearly 5 300 flights because of superstorm Sandy  reduced revenue and profit in October.,normal
UAL,United Continental Holdings Inc,20121108,United Continental says Sandy dented October revenue  profit ,Nov 8 United Continental Holdings  the world's largest air carrier  said disruptions to operations including the cancellation of nearly 5 300 flights because of superstorm Sandy  reduced revenue and profit in October.,normal
UMC,United Microelectronics Corporation,20121108,Taiwan's UMC Oct sales rise 12.4 pct on year ,TAIPEI  Nov 8 Taiwan's UMC  the world's No.2 contract chipmaker  said on Thursday its October sales rose 12.4 percent from a year earlier.,topStory
VZ,Verizon Communications Inc,20121108,Verizon sees 2013 capital spending unchanged from 2012 ,NEW YORK  Nov 8 Verizon Communications  plans to keep its 2013 capital budget around the same level as 2012  Chief Executive Fran Shammo said on Thursday.,topStory
VZ,Verizon Communications Inc,20121108,BRIEF-Verizon sees 2013 capex flat with 2012 ,Nov 8 Verizon Communications Inc :  * Says Q4 fios net additions will suffer from hurricane sandy  * Says confident can improve wireline margins in 2013  * Says having serious discussions about wireless spectrum it is trying to sell ,normal
VZA,Verizon Communications Inc,20121108,Verizon sees 2013 capital spending unchanged from 2012 ,NEW YORK  Nov 8 Verizon Communications  plans to keep its 2013 capital budget around the same level as 2012  Chief Executive Fran Shammo said on Thursday.,topStory
VZA,Verizon Communications Inc,20121108,BRIEF-Verizon sees 2013 capex flat with 2012 ,Nov 8 Verizon Communications Inc :  * Says Q4 fios net additions will suffer from hurricane sandy  * Says confident can improve wireline margins in 2013  * Says having serious discussions about wireless spectrum it is trying to sell ,normal
WMT,Wal-Mart Stores Inc,20121108,Walmart moves "Black Friday" earlier on Thanksgiving ,"Black Friday" arrives earlier than ever at Walmart this year  with customers barely getting to digest Thanksgiving dinner before holiday shopping kicks off at 8 p.m. local time.,topStory
WMT,Wal-Mart Stores Inc,20121108,Walmart moves "Black Friday" earlier on Thanksgiving night ,Walmart will kick off its holiday sales rush at 8 p.m. on Thanksgiving  its earliest start ever  and will guarantee that those who line up can buy a trio of gadgets as it places a big bet that shoppers are ready to spend this holiday season.,normal
DIS,Walt Disney Company (The),20121108,Theme parks  ESPN lift Disney quarterly profit ,LOS ANGELES Media giant Walt Disney Co  posted higher quarterly profit on Thursday  lifted by an increase in attendance at theme parks and revenue gains at sports juggernaut ESPN.,topStory
DIS,Walt Disney Company (The),20121108,UPDATE 2-Theme parks  ESPN lift Disney quarterly profit ,LOS ANGELES  Nov 8 Media giant Walt Disney Co  posted higher quarterly profit on Thursday  lifted by an increase in attendance at theme parks and revenue gains at sports juggernaut ESPN.,normal
DIS,Walt Disney Company (The),20121108,BRIEF-Walt Disney shares down following results ,NEW YORK  Nov 8 Walt Disney Co :  * Shares down 2 percent in extended trade following results,normal
WFC,Wells Fargo & Company,20121108,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies for Thursday  November 8  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reser,topStory
WLL,Whiting Petroleum Corporation,20121108,Statoil denies interest in Whiting Petroleum ,OSLO  Nov 8 Norwegian oil and gas firm Statoil  is not interested in buying Whiting Petroleum  and any speculation about its interest was "unfounded and plain wrong " the company said on Thursday.,topStory
WLL,Whiting Petroleum Corporation,20121108,BRIEF-Whiting Petroleum up in premarket on report Statoil to make bid ,NEW YORK  Nov 8 Whiting Petroleum Corp :  * Whiting Petroleum up 11 percent premarket on report Statoil  may make bid,normal
WLL,Whiting Petroleum Corporation,20121108,Statoil weighing offer for Whiting Petroleum-website ,OSLO  Nov 8 Norway's Statoil ASA has approached shale oil producer Whiting Petroleum Corp  with a possible bid worth up to $7.6 billion  benzinga.com said citing unnamed sources.,normal
NGD,New Gold Inc,20121108,TEXT - S&P rates New Gold's proposed notes 'BB-' ,Overview      -- We are assigning our 'BB-' issue-level and '3' recovery ratings to New  Gold Inc.'s proposed US$500 million senior unsecured notes. We assume that the proceeds from the notes will be used to advance the company's growth  aspirations rather than for any major shareholder-friendly initiatives.      -- At the same time  we are affirming all our ratings on New Gold   including our 'BB-' long-term corporate credit rating.       -- The stable outlook reflects our view that New Gold's ,topStory
NGD,New Gold Inc,20121108,BRIEF - Moody's affirms New Gold's B1 corporate family rating ,Nov 8 Moody's affirms New Gold's B1 corporate family rating,normal
