AMCN,AirMedia Group Inc,20131119,BRIEF-AirMedia sees Q4 2013 revenue $76 million to $79 million ,Nov 19 Airmedia Group Inc :  * Announces unaudited third quarter 2013 financial results  * Q3 revenue fell 5.6 percent to $69 million  * Sees Q4 2013 revenue $76 million to $79 million  * Sees Q4 2013 revenue down 4.4 to 8 percent  * Q3 net loss per ads $0.06  * Source text for Eikon   * Further company coverage,topStory
BX,The Blackstone Group LP,20131119,Deals of the day- Mergers and acquisitions ,(Adds Adcock Ingram  Blackstone Group  Rolls-Royce  Pemex  Loewe  JSW  Teva Pharmaceutical; updates Deutsche Boerse),normal
BX,The Blackstone Group LP,20131119,Blackstone  Indian firm to buy Mumbai office for $144 million: sources ,MUMBAI U.S. private equity firm Blackstone Group LP  and Indian developer Panchshil Realty are close to buying a majority stake in an office tower in Mumbai for about 9 billion rupees ($144 million)  two sources with direct knowledge of the matter said.,normal
BX,The Blackstone Group LP,20131119,Blackstone  Indian firm to buy Mumbai office for $144 mln-sources ,MUMBAI  Nov 19 U.S. private equity firm Blackstone Group LP and Indian developer Panchshil Realty are close to buying a majority stake in an office tower in Mumbai for about 9 billion rupees ($144 million)  two sources with direct knowledge of the matter said.,normal
BX,The Blackstone Group LP,20131119,UPDATE 1-Blackstone China chairman steps down to join HK conglomerate ,* Former HK financial secretary Leung to take role at HK firm in Feb,normal
BX,The Blackstone Group LP,20131119,Antony Leung to leave role as Greater China Chairman for Blackstone ,HONG KONG  Nov 19 Blackstone Group's  Antony Leung is stepping away from his role as Greater China Chairman and will become a senior adviser  according to a statement from the private equity firm on Tuesday.,normal
BX,The Blackstone Group LP,20131119,Deletes blackstone snaps , ,normal
TRI,Thomson Reuters Corp,20131119,Iran state media rejects Reuters investigation as 'disinformation' ,DUBAI Iran's state news agency dismissed a series of reports by Reuters about a multi-billion dollar organization controlled by Supreme Leader Ali Khamenei as "disinformation" intended to undermine public trust in the Islamic Republic's institutions.,topStory
TRI,Thomson Reuters Corp,20131119,Iran state media rejects Reuters investigation as "disinformation" ,DUBAI  Nov 19 Iran's state news agency dismissed a series of reports by Reuters about a multi-billion dollar organisation controlled by Supreme Leader Ali Khamenei as "disinformation" intended to undermine public trust in the Islamic Republic's institutions.,normal
TIF,Tiffany & Co,20131119,RESEARCH ALERT-Tiffany: JP Morgan raises target price ,Nov 19 Tiffany & Co :  * JP Morgan raises target price to $86 from $78; rating neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
TJX,TJX Companies Inc (The),20131119,TJ Maxx owner TJX says holiday season off to good start ,Retailer TJX Cos Inc   owner of T.J. Maxx and Marshalls  reported a better-than-expected adjusted profit and said the holiday shopping quarter was off to a strong start.,topStory
TJX,TJX Companies Inc (The),20131119,UPDATE 1-TJ Maxx owner TJX says holiday season off to good start ,* Maintains 4th-qtr profit forecast of $0.77-$0.80/share   (Adds details  outlook  share movement),normal
TJX,TJX Companies Inc (The),20131119,BRIEF-The TJX Companies Inc Q3 earnings per share $0.86 ,Nov 19 TJX :  * The TJX Companies Inc sees strong momentum continue; reports above-planthird,normal
TJX,TJX Companies Inc (The),20131119,BRIEF-TJX Cos Q3 earnings per share $0.86 ,Nov 19 TJX :  * The TJX Companies Inc sees strong momentum continue; reports above-plan third,normal
TJX,TJX Companies Inc (The),20131119,Clothing retailer TJX adjusted profit beats estimates ,Nov 19 TJX Cos Inc's adjusted profit beat analysts' estimates for the second straight quarter as more value-conscious shoppers visited its stores for low-priced apparels.,normal
TM,Toyota Motor Corp Ltd Ord,20131119,As big automakers go electric  Mazda squeezes more from gasoline engines ,HIROSHIMA  Japan Japan's Mazda Motor Corp  has only a tenth of Toyota Motor Corp's  research and development budget  but is betting it can make the century-old internal combustion engine as fuel efficient as hybrids like its rival's pioneering Prius.,topStory
TM,Toyota Motor Corp Ltd Ord,20131119,As big automakers go electric  Mazda squeezes more from gasoline engines ,HIROSHIMA  Japan  Nov 20 Japan's Mazda Motor Corp has only a tenth of Toyota Motor Corp's  research and development budget  but is betting it can make the century-old internal combustion engine as fuel efficient as hybrids like its rival's pioneering Prius.,normal
TM,Toyota Motor Corp Ltd Ord,20131119,UPDATE 1-Fragile European auto rebound rewards new models ,PARIS/MILAN  Nov 19 European car sales rose 4.6 percent in October  according to industry data published on Tuesday  as a broad-based recovery took root in the region's main auto markets.,normal
TRP,TransCanada Corporation,20131119,CORRECTED-TransCanada boosts Keystone XL cost estimate by $100 mln ,(Changes day to Tuesday from Thursday in first paragraph. In U.S. dollars unless noted.),topStory
TWTR,Twitter Inc,20131119,Venezuela asks Twitter to block black market dollar tweeters ,CARACAS Venezuela asked Twitter on Tuesday to block accounts linked to websites that publish the black market exchange rate for dollars  which the government says undermines its efforts to enforce currency controls and rein in inflation.,topStory
TSN,Tyson Foods Inc,20131119,RESEARCH ALERT-Tyson Foods: JP Morgan raises target price ,Nov 19 Tyson Foods Inc :  * JP Morgan raises target price to $29 from $28; rating neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
UGI,UGI Corporation,20131119,BRIEF-UGI reports Q4 loss per share $0.12 ,Nov 18 UGI Corp :  * Reports 38% increase in earnings for fiscal 2013  issues guidance for 2014  * Sees FY 2014 earnings per share $2.60 to $2.70  * Q4 loss per share $0.12  * Q4 earnings per share view $-0.06 -- Thomson Reuters I/B/E/S  * Q4 total revenue $1.3 billion versus $1.1 billion year ago  * Source text for Eikon   * Further company coverage,topStory
UN,Unilever NV,20131119,BRIEF-Unilever agrees to sell Soft & Beautiful  TCB and Pro-Line Comb-Thru to strength of nature ,Nov 19 Unilever NV :  * Agrees to sell soft & beautiful  tcb and pro-line comb-thru to strength of,topStory
UN,Unilever NV,20131119,Unilever agrees to sell hair care brands ,LONDON  Nov 19 Unilever said on Tuesday it would sell three hair care brands - Soft & Beautiful  TCB and Pro-Line Comb-Thru - to haircare company Strength of Nature for an undisclosed price.,normal
UAL,United Continental Holdings Inc,20131119,United to cut costs by $2 billion  could issue dividend by 2015 ,Nov 19 United Continental Holdings  the parent company of United Airlines  said on Tuesday its costs will fall by $2 billion every year and that it may issue dividends by 2015  as the airline cuts fuel consumption and sourcing costs and increases productivity.,topStory
VZ,Verizon Communications Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,topStory
VZ,Verizon Communications Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Nov 19 Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,normal
VZA,Verizon Communications Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,topStory
VZA,Verizon Communications Inc,20131119,CenturyLink boosts cloud offerings with Tier 3 buy ,Nov 19 Telecommunications company CenturyLink Inc said on Tuesday it has bought cloud computing startup Tier 3 Inc as part of its acquisition strategy that allows it to compete with the likes of Amazon Inc  IBM Corp and Verizon Communications Inc's Terremark.,normal
WMT,Wal-Mart Stores Inc,20131119,COLUMN-Timing the capitol bloviators  the French as the tough guys  and Wal-Mart's reputation ,Nov 19 (This is the latest installment of Steven Brill's weekly column "Stories I'd Like to See."),topStory
WMT,Wal-Mart Stores Inc,20131119,Best Buy cuts prices  warns on holiday-quarter margins ,Best Buy Co  is cutting prices for the holiday season to thwart fierce competition from Wal-Mart and other discount and online rivals  a move that it warns will hurt margins for the current quarter.,normal
WMT,Wal-Mart Stores Inc,20131119,UPDATE 3-Best Buy cuts prices  warns on holiday-quarter margins ,Nov 19 Best Buy Co is cutting prices for the holiday season to thwart fierce competition from Wal-Mart and other discount and online rivals  a move that it warns will hurt margins for the current quarter.,normal
WMT,Wal-Mart Stores Inc,20131119,U.S. Labor Board may issue complaint against Wal-Mart on strikes ,NEW YORK The U.S. National Labor Relations Board on Monday said it has authorized legal action against Wal-Mart Stores Inc  for allegedly retaliating against workers who participated in strikes against the company over low pay.,normal
WMT,Wal-Mart Stores Inc,20131119,U.S. Labor Board may issue complaint against Wal-Mart on strikes ,NEW YORK  Nov 18 The U.S. National Labor Relations Board on Monday said it has authorized legal action against Wal-Mart Stores Inc for allegedly retaliating against workers who participated in strikes against the company over low pay.,normal
WCG,WellCare Health Plans Inc,20131119,RESEARCH ALERT-Health Net  Molina Healthcare  WellCare Health: Leerink starts with outperform ,Nov 19 :  * Health net  Molina Healthcare WellCare Health :,topStory
WFC,Wells Fargo & Company,20131119,RESEARCH ALERT-Endurance International: Wells Fargo starts with outperform - Theflyonthewall.com ,Nov 19 Endurance International Group Holdings Inc  :  * Wells Fargo starts with outperform rating - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
WCC,WESCO International Inc,20131119,BRIEF-Wesco announces proposed offering of $400 mln senior notes ,Nov 19 Wesco International Inc :  * Announces proposed private offering of $400 million senior notes due 2021  * Intends to use all or portion of net proceeds to repay amounts outstanding,topStory
WU,Western Union Company (The),20131119,Fitch Rates Western Union's Proposed Senior Unsecured Notes Offering 'BBB+' ,(The following statement was released by the rating agency) NEW YORK  November 19 (Fitch) Fitch Ratings has assigned a 'BBB+' rating to The  Western Union Company's (Western Union) proposed $250 million  5.5-year senior  unsecured note offering. Proceeds from the offering will be used for general  corporate purposes  including repayment of indebtedness. Fitch expects proceeds  will effectively refinance a portion of the company's $500 million 6.5% senior  unsecured notes due February 2014. RATIN,topStory
WWE,World Wrestling Entertainment Inc,20131119,BRIEF-WWE names Matthew Singerman as executive vice president of programming ,Nov 19 World Wrestling Entertainment Inc :  * Wwe names matthew singerman executive vice president  programming * Source text for Eikon  * Further company coverage,topStory
AAU,Almaden Minerals Ltd,20131119,BRIEF-Almaden infill drilling on main zone  hits 30.90 meters of 3.38 g/t au  230.8 g/t ag (8.0 g/t aueq) at ixtaca  Mexico ,Nov 19 Almaden Minerals Ltd :  * Infill drilling on main zone  hits 30.90 meters of 3.38 g/t au  230.8 g/t ag,topStory
IEC,IEC Electronics Corp,20131119,BRIEF-IEC Electronics M&t agree to term loan of $1.3 mln to reimburse cost of purchasing New York building ,Nov 19 IEC Electronics Corp :  * On November 8  co  Manufacturers and Traders Trust entered into third,topStory
